"Source:","C:\Users\Daniel bilodeau\OneDrive\Documents\Projects\Fume_extractor\Ki_PCB\Ki_PCB.kicad_sch"
"Date:","2022-11-24 8:00:17 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","D:\Software\kicad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey link","Part number","Spice_Model","Spice_Netlist_Enabled","Spice_Primitive"
"","","R12","113K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0201FT113K/5965944","RMCF0201FT113K","","",""
"","","R13","100K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R14","12K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R15","10K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262","RNCP0805FTD10K0","","",""
"","","R16","10K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262","RNCP0805FTD10K0","","",""
"","","R17","27K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R18","2K7","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT2K70/1760308","RMCF0805FT2K70","","",""
"","","R19","200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","RV1","22K","Device:R_Potentiometer_US","Potentiometer_THT:PC16SH-10IP06-223A2020-TA","https://www.piher.net/pdf/20-PC16v03.pdf","https://www.digikey.ca/en/products/detail/amphenol-piher-sensing-systems/PC16SH-10IP06-223A2020-TA/16028525?s=N4IgTCBcDaIIwE4EGYC0AFAwnAbAZQAlU4AGASXRJ1TDGQEEwSnUAVe1AOQBEQBdAL5A","PC16SH-10IP06-223A2020-TA","","",""
"","","RV2","5K","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer Custom Vertical","~","","","","",""
"","","U1","LDL1117S50R","Regulator_Linear:LDL1117S50R","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/0e/5a/00/ca/10/1a/4f/a5/DM00366442/files/DM00366442.pdf/jcr:content/translations/en.DM00366442.pdf","https://www.digikey.ca/en/products/detail/stmicroelectronics/LDL1117S50R/7102072?s=N4IgTCBcDaIDYBM4EZUHYDOBWADAJxAF0BfIA","LDL1117S50R","","",""
"","","U2","TLC555CPWR","Timer:TLC555CPWR","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/lm555.pdf","https://www.digikey.ca/en/products/detail/texas-instruments/TLC555CPWR/381096","TLC555CPWR","","",""
"","","U3","MCP73844T-820I/MS","Battery_Management:MCP73844T-820I{slash}MS","Package_SO:MSOP-8_3x3mm_P0.65mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21823D.pdf","https://www.digikey.ca/en/products/detail/microchip-technology/MCP73844T-820I-MS/593752","MCP73844T-820I/MS","","",""
"","","U4","AP9101CK6","Battery_Management:AP9101CK6","Package_TO_SOT_SMD:SOT-23-6","https://www.diodes.com/assets/Datasheets/AP9101C.pdf","","AP9101CK6","","",""
"","","U5","AP9101CK6","Battery_Management:AP9101CK6","Package_TO_SOT_SMD:SOT-23-6","https://www.diodes.com/assets/Datasheets/AP9101C.pdf","","AP9101CK6","","",""
"","","U6","BQ29209DRBR","My_library:BQ29209DRBR","My_footprints:BQ29209DRBR","https://www.ti.com/lit/ds/symlink/bq29209.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1667434051714&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fbq29209","https://www.digikey.ca/en/products/detail/texas-instruments/BQ29209DRBR/2350205?s=N4IgTCBcDaIEIEUwE4wAZkBEBKdsgF0BfIA","BQ29209DRBR","","",""
